Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Anaximander","Moon",68.71,66.97,-51.44,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (c. 611-547 B.C.).",
"Anaximenes","Moon",81.12,72.49,-44.98,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (585-528 B.C.).",
"Anděl","Moon",32.93,-10.41,12.38,"Planetographic  +East  -180 - 180","Approved","1935","Karel; Czechoslovakian astronomer (1884-1948).",
"Anders","Moon",41.33,-41.31,-143.3,"Planetographic  +East  -180 - 180","Approved","1970","William Alison; American astronaut (1933-Live).",
"Anders' Earthrise","Moon",40.15,-11.73,100.47,"Planetographic  +East  -180 - 180","Approved","Oct 5, 2018","Crater visible in the foreground of the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, showing the Earth and part of the Moon’s surface. The crater was previously designated Pasteur T.",
"Anderson","Moon",105.33,15.5,170.79,"Planetographic  +East  -180 - 180","Approved","1970","John August; American astronomer (1876-1959).",
"Andersson","Moon",13.42,-49.95,-95.46,"Planetographic  +East  -180 - 180","Approved","1985","Leif Erland; American astronomer (1943-1979).",
"Andronov","Moon",16.57,-22.68,146.11,"Planetographic  +East  -180 - 180","Approved","1976","Aleksandr Aleksandrovich; Soviet physicist (1901-1952).",
"Ango","Moon",0.87,20.48,-32.34,"Planetographic  +East  -180 - 180","Approved","1976","African male name.",
"Angström","Moon",9.55,29.9,-41.67,"Planetographic  +East  -180 - 180","Approved","1935","Anders Jonas; Swedish physicist (1814-1874).",
"Ann","Moon",2.12,25.11,-0.05,"Planetographic  +East  -180 - 180","Approved","1976","Hebrew female name.",
"Annegrit","Moon",1.29,29.43,-25.64,"Planetographic  +East  -180 - 180","Approved","1976","German female name.",
"Ansgarius","Moon",91.42,-12.92,79.72,"Planetographic  +East  -180 - 180","Approved","1935","St. Ansgar; German theologian (801-864).",
"Antoniadi","Moon",137.92,-69.3,-173.06,"Planetographic  +East  -180 - 180","Approved","1970","Eugène Michael; Turkish-born French astronomer (1870-1944).",
"Anuchin","Moon",62.14,-48.85,101.66,"Planetographic  +East  -180 - 180","Approved","1979","Dimitrii Nikolaevich; Russian geographer (1843-1923).",
"Anville","Moon",10.26,1.84,49.51,"Planetographic  +East  -180 - 180","Approved","1976","Jean-Baptiste Bourguignon; French cartographer (1697-1782).",
"Apianus","Moon",63.44,-26.96,7.87,"Planetographic  +East  -180 - 180","Approved","1935","Bienewitz, Peter; German mathematician, astronomer (1495-1552).",
"Apollo","Moon",524.23,-35.69,-151.48,"Planetographic  +East  -180 - 180","Approved","1970","Named to honor Apollo missions.",
"Apollonius","Moon",50.66,4.51,60.96,"Planetographic  +East  -180 - 180","Approved","1935","Apollonius of Perga; Greek mathematician (c. 262-190 B.C.).",
"Appleton","Moon",64.59,37.05,158.17,"Planetographic  +East  -180 - 180","Approved","1970","Sir Edward Victor; British physicist; Nobel laureate (1892-1965).",
"Arago","Moon",25.51,6.15,21.43,"Planetographic  +East  -180 - 180","Approved","1935","Dominique Francois Jean; French astronomer (1786-1853).",
"Aratus","Moon",10.23,23.58,4.51,"Planetographic  +East  -180 - 180","Approved","1935","Aratus of Soli; Greek astronomer (c. 310-240/239 B.C.).",
"Archimedes","Moon",81.04,29.72,-3.99,"Planetographic  +East  -180 - 180","Approved","1935","Greek physicist, mathematician (c. 287-212 B.C.).",
"Archytas","Moon",31.95,58.87,4.99,"Planetographic  +East  -180 - 180","Approved","1935","Greek mathematician (428-347 B.C. ?).",
"Argelander","Moon",33.72,-16.55,5.8,"Planetographic  +East  -180 - 180","Approved","1935","Friedrich Wilhelm August; German astronomer (1799-1875).",
"Ariadaeus","Moon",10.4,4.55,17.28,"Planetographic  +East  -180 - 180","Approved","1935","Philip III of Macedonia; chronologer (c. 358-317 B.C.).",
"[Ariosto]","Moon",0,-3.6,95.6,"Planetographic  +East  -180 - 180","Not Approved"," ","Ludovico; Italian writer (1474-1533).",
"Aristarchus","Moon",39.99,23.73,-47.49,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (310-230 B.C. ?).",
"Aristillus","Moon",54.37,33.88,1.21,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer (fl. c. 280 B.C.).",
"Aristoteles","Moon",87.57,50.24,17.32,"Planetographic  +East  -180 - 180","Approved","1935","Greek astronomer, philosopher (383-322 B.C.).",
"Armiński","Moon",26.76,-16.36,154.22,"Planetographic  +East  -180 - 180","Approved","1976","Franciszek; Polish astronomer (1789-1848). (Spelling changed from Armínski.)",
"Armstrong","Moon",4.21,1.35,24.94,"Planetographic  +East  -180 - 180","Approved","1970","Neil Alden; American astronaut (1930-2012).",
"Arnold","Moon",93.13,66.98,35.83,"Planetographic  +East  -180 - 180","Approved","1935","Christoph; German astronomer (1650-1695).",
"Arrhenius","Moon",40.93,-55.58,-91.45,"Planetographic  +East  -180 - 180","Approved","1970","Svante August; Swedish chemist; Nobel laureate (1859-1927).",
"Artamonov","Moon",62.45,25.44,103.79,"Planetographic  +East  -180 - 180","Approved","1970","Nikolaj N.; Soviet rocket scientist (1906-1965).",
"Artem'ev","Moon",66.39,10.4,-145.22,"Planetographic  +East  -180 - 180","Approved","1970","Vladimir Andreevich; Soviet rocket scientist (1885-1962).",
"Artemis","Moon",2.28,25.03,-25.36,"Planetographic  +East  -180 - 180","Approved","1976","Greek female first name.",
"Artsimovich","Moon",7.96,27.61,-36.63,"Planetographic  +East  -180 - 180","Approved","1973","Lev Andreevich; Soviet physicist (1909-1973).",
"Aryabhata","Moon",21.89,6.2,35.17,"Planetographic  +East  -180 - 180","Approved","1979","Aryabhata I; Indian astronomer, mathematician (476-c.550).",
"Arzachel","Moon",96.99,-18.26,-1.93,"Planetographic  +East  -180 - 180","Approved","1935","Al-Zarqālī; Spanish-Arabic astronomer (died 1100).",
"Asada","Moon",12.37,7.25,49.9,"Planetographic  +East  -180 - 180","Approved","1976","Goryu; Japanese astronomer (1734-1799).",
"Asclepi","Moon",40.56,-55.19,25.52,"Planetographic  +East  -180 - 180","Approved","1935","Giuseppe Maria; Italian astronomer (1706-1776).",
"Ashbrook","Moon",157.68,-81.1,-110.58,"Planetographic  +East  -180 - 180","Approved","1994","Joseph; American astronomer (1918-1980).",
"Aston","Moon",44.48,32.77,-87.68,"Planetographic  +East  -180 - 180","Approved","1964","Francis William; British chemist, physicist; Nobel laureate (1877-1945).",
"Atlas","Moon",88.12,46.74,44.38,"Planetographic  +East  -180 - 180","Approved","1935","Mythological Greek Titan.",
"Atwood","Moon",28.64,-5.88,57.78,"Planetographic  +East  -180 - 180","Approved","1976","George; British mathematician, physicist (1746-1807).",
"[Austen]","Moon",0,-9,93.55,"Planetographic  +East  -180 - 180","Not Approved"," ","Jane; British author (1775-1817).",
"Autolycus","Moon",38.88,30.68,1.49,"Planetographic  +East  -180 - 180","Approved","1935","Autolycus of Pitane; Greek astronomer (fl. c. 310 B.C.).",
"Auwers","Moon",19.64,15,17.12,"Planetographic  +East  -180 - 180","Approved","1935","Georg Friedrich Julius Arthur; German astronomer (1838-1915).",
"Auzout","Moon",32.92,10.21,64.01,"Planetographic  +East  -180 - 180","Approved","1961","Adrien; French astronomer, physicist (1622-1691).",
"Avery","Moon",10.73,-1.32,81.37,"Planetographic  +East  -180 - 180","Approved","1976","Oswald Theodore; Canadian doctor (1877-1955).",
"Avicenna","Moon",72.99,39.63,-97.28,"Planetographic  +East  -180 - 180","Approved","1970","Abu Ali Al-Hussein Ibn Abdallah; Persian doctor (980-1037).",
"Avogadro","Moon",129.84,63.21,165.36,"Planetographic  +East  -180 - 180","Approved","1970","Amedeo (Conte Di Quarengna); Italian physicist (1776-1856).",
"Azophi","Moon",47.54,-22.19,12.7,"Planetographic  +East  -180 - 180","Approved","1935","Al-Sufi, Abderrahman; Persian astronomer (903-986).",
"Baade","Moon",57.85,-44.75,-82.03,"Planetographic  +East  -180 - 180","Approved","1964","Wilhelm Heinrich Walter; American astronomer (1893-1960).",
"Babakin","Moon",19.15,-20.81,123.26,"Planetographic  +East  -180 - 180","Approved","1973","Georgii Nikolaevich; Soviet space scientist (1914-1971).",
"Babbage","Moon",146.56,59.56,-57.38,"Planetographic  +East  -180 - 180","Approved","1935","Charles; British mathematician (1792-1871).",
"Babcock","Moon",95.28,4.13,94.14,"Planetographic  +East  -180 - 180","Approved","1970","Harold Delos; American astronomer, physicist (1882-1968).",
"Back","Moon",34.63,1.2,80.67,"Planetographic  +East  -180 - 180","Approved","1976","Ernst Emil Alexander; German physicist (1881-1959).",
"Backlund","Moon",75.46,-16.22,103.35,"Planetographic  +East  -180 - 180","Approved","1970","Jöns Oskar; Russian astronomer (1846-1916).",
"Baco","Moon",65.31,-51.04,19.1,"Planetographic  +East  -180 - 180","Approved","1935","Bacon, Roger; British natural philosopher, optician (c. 1214-c. 1294).",
"Baillaud","Moon",89.44,74.61,37.35,"Planetographic  +East  -180 - 180","Approved","1935","(Édouard) Benjamin; French astronomer (1848-1934).",
"Bailly","Moon",300.56,-66.82,-68.9,"Planetographic  +East  -180 - 180","Approved","1935","Jean Sylvain; French astronomer (1736-1793).",
"Baily","Moon",25.68,49.78,30.56,"Planetographic  +East  -180 - 180","Approved","1935","Francis; British astronomer (1774-1844).",
"Balandin","Moon",11.81,-18.94,152.58,"Planetographic  +East  -180 - 180","Approved","1976","Aleksey Aleksandrovich; Soviet chemist (1898-1967).",
"Balboa","Moon",69.19,19.24,-83.31,"Planetographic  +East  -180 - 180","Approved","1964","Vasco Nuñez de; Spanish explorer (1475-1519).",
"Baldet","Moon",55.76,-53.32,-151.96,"Planetographic  +East  -180 - 180","Approved","1970","Fernand; French astronomer (1885-1964).",
"Ball","Moon",40.31,-35.92,-8.39,"Planetographic  +East  -180 - 180","Approved","1935","William; British astronomer (unkn-1690).",
"Balmer","Moon",136.3,-20.27,70.22,"Planetographic  +East  -180 - 180","Approved","1964","Johann Jakob; Swiss mathematician, physician (1825-1898).",
"[Balzac]","Moon",0,-8,95,"Planetographic  +East  -180 - 180","Not Approved"," ","Honore de; French author (1799-1850).",
"Banachiewicz","Moon",99.09,5.28,80.01,"Planetographic  +East  -180 - 180","Approved","1964","Tadeusz; Polish astronomer, mathematician (1882-1954).",
"Bancroft","Moon",12.5,28.07,-6.43,"Planetographic  +East  -180 - 180","Approved","1976","Wilder Dwight; American chemist (1867-1953).",
"Banting","Moon",5.15,26.58,16.43,"Planetographic  +East  -180 - 180","Approved","1973","Sir Frederick Grant; Canadian doctor; Nobel laureate (1891-1941).",
"Barbier","Moon",65.38,-23.85,157.93,"Planetographic  +East  -180 - 180","Approved","1970","Daniel; French astronomer (1907-1965).",
"Barkla","Moon",40.9,-10.67,67.22,"Planetographic  +East  -180 - 180","Approved","1979","Charles Glover; British physicist; Nobel laureate (1877-1944).",
"Barnard","Moon",115.73,-29.79,85.95,"Planetographic  +East  -180 - 180","Approved","1964","Edward Emerson; American astronomer (1857-1923).",
"Barocius","Moon",82.72,-44.98,16.81,"Planetographic  +East  -180 - 180","Approved","1935","Francesco; Italian mathematician (1537-1604).",
"Barringer","Moon",66.89,-28.22,-150.43,"Planetographic  +East  -180 - 180","Approved","1970","Daniel Moreau; American engineer, geologist (1860-1929).",
"Barrow","Moon",93.82,71.28,7.59,"Planetographic  +East  -180 - 180","Approved","1935","Isaac; British mathematician (1630-1677).",
"Bartels","Moon",54.95,24.51,-89.85,"Planetographic  +East  -180 - 180","Approved","1970","Julius; German geophysicist (1899-1964).",
"[Baudelaire]","Moon",0,-23.2,123.1,"Planetographic  +East  -180 - 180","Not Approved"," ","Pierre Charles; French poet (1821-1867).",
"Bawa","Moon",1.57,-25.28,102.56,"Planetographic  +East  -180 - 180","Approved","1976","African male name.",
"Bayer","Moon",48.51,-51.62,-35.14,"Planetographic  +East  -180 - 180","Approved","1935","Johann; German astronomer (1572-1625).",
"Beals","Moon",52.61,37.11,86.58,"Planetographic  +East  -180 - 180","Approved","1982","Carlyle Smith; Canadian astronomer (1899-1979). ",
"Beaumont","Moon",50.69,-18.08,28.82,"Planetographic  +East  -180 - 180","Approved","1935","Jean-Baptiste-Armand-Louis-Léonce Élie de; French geologist (1798-1874).",
"Becquerel","Moon",62.86,40.79,129.5,"Planetographic  +East  -180 - 180","Approved","1970","Antoine-Henri; French physicist; Nobel laureate (1852-1908).",
"Bečvář","Moon",66.62,-2.57,125.07,"Planetographic  +East  -180 - 180","Approved","1970","Antonin; Czechoslovakian astronomer (1901-1965).",
"Beer","Moon",9.06,27.07,-9.1,"Planetographic  +East  -180 - 180","Approved","1935","Wilhelm; German astronomer (1797-1850).",
"Behaim","Moon",56.21,-16.61,79.41,"Planetographic  +East  -180 - 180","Approved","1935","Martin; German navigator, cartographer (1459-1507).",
"Beijerinck","Moon",76.77,-13.4,151.84,"Planetographic  +East  -180 - 180","Approved","1970","Martinus Willem; Dutch botanist (1851-1931).",
"Beketov","Moon",8.3,16.23,29.18,"Planetographic  +East  -180 - 180","Approved","1976","Nikolai Nikolaevich; Russian chemist (1827-1911).",
"Béla","Moon",10.07,24.67,2.27,"Planetographic  +East  -180 - 180","Approved","1976","Hungarian male name, also Slovak female name.",
"Bel'kovich","Moon",215.08,61.53,90.15,"Planetographic  +East  -180 - 180","Approved","1964","Igor V.; Soviet astronomer (1904-1949).",
"Bell","Moon",86.33,21.98,-96.53,"Planetographic  +East  -180 - 180","Approved","1970","Alexander Graham; Scottish-American inventor (1847-1922).",
"Bellinsgauzen (Bellingshausen)","Moon",63.23,-60.72,-164.85,"Planetographic  +East  -180 - 180","Approved","1970","Faddei Faddeevich; Russian explorer (1778-1852).",
"Bellot","Moon",17.5,-12.48,48.19,"Planetographic  +East  -180 - 180","Approved","1935","Joseph Rene; French explorer (1826-1853).",
"Belopol'skiy","Moon",61.9,-17.25,-128.23,"Planetographic  +East  -180 - 180","Approved","1970","Aristarch Apollonovich; Russian astronomer (1854-1934).",
"Belyaev","Moon",55.9,23.1,143.11,"Planetographic  +East  -180 - 180","Approved","1970","Pavel Ivanovich; Soviet cosmonaut (1925-1970).",
"Benedict","Moon",13.83,4.35,141.54,"Planetographic  +East  -180 - 180","Approved","1976","Francis Gano; American chemist, physiologist (1870-1957).",
"Bergman","Moon",22.51,6.97,137.49,"Planetographic  +East  -180 - 180","Approved","1976","Torbern Olof; Swedish chemist, mineralogist, astronomer (1735-1784).",
"Bergstrand","Moon",42.98,-18.72,176.44,"Planetographic  +East  -180 - 180","Approved","1970","Carl Östen Emanuel; Swedish astronomer (1873-1948).",
"Berkner","Moon",87.62,25.13,-105.24,"Planetographic  +East  -180 - 180","Approved","1970","Lloyd Viel; American geophysicist (1905-1967).",
"Berlage","Moon",93.75,-63.04,-163.61,"Planetographic  +East  -180 - 180","Approved","1970","Hendrik Petrus; Dutch geophysicist, meteorologist (1896-1968).",
"[Bernini]","Moon",0,14.9,30,"Planetographic  +East  -180 - 180","Not Approved","1984","Gianlorenzo; Italian artist (1598-1680).",
"Bernoulli","Moon",47.3,34.93,60.61,"Planetographic  +East  -180 - 180","Approved","1985","Jacques; Swiss mathematician (1654-1705); Jean; Swiss mathematician (1667-1748). (Spelling changed from Bernouilli.)",
"Berosus","Moon",75.24,33.5,69.99,"Planetographic  +East  -180 - 180","Approved","1935","Berosus the Chaldean; Babylonian astronomer (unkn-c. 250 B.C.).",
"Berzelius","Moon",48.53,36.55,50.95,"Planetographic  +East  -180 - 180","Approved","1935","Jöns Jacob; Swedish chemist (1779-1848).",
"Bessarion","Moon",9.84,14.85,-37.31,"Planetographic  +East  -180 - 180","Approved","1935","John; Greek scholar (1403-1472).",
"Bessel","Moon",15.56,21.73,17.92,"Planetographic  +East  -180 - 180","Approved","1935","Friedrich Wilhelm; German astronomer (1784-1846).",
"Bettinus","Moon",71.78,-63.4,-45.16,"Planetographic  +East  -180 - 180","Approved","1935","Mario; Italian mathematician, astronomer (1582-1657).",
"Bhabha","Moon",70.25,-55.5,-165.31,"Planetographic  +East  -180 - 180","Approved","1970","Homi Jehangir; Indian physicist (1909-1966).",
"Bianchini","Moon",37.59,48.78,-34.37,"Planetographic  +East  -180 - 180","Approved","1935","Francesco; Italian astronomer (1662-1729).",
"Biela","Moon",77.03,-54.99,51.63,"Planetographic  +East  -180 - 180","Approved","1935","Wilhelm von; Austrian astronomer (1782-1856).",
"Bilharz","Moon",44.55,-5.83,56.34,"Planetographic  +East  -180 - 180","Approved","1976","Theodor; German doctor, zoologist (1825-1862).",
"Billy","Moon",45.57,-13.83,-50.24,"Planetographic  +East  -180 - 180","Approved","1935","Jacques de; French mathematician (1602-1679).",
"Bingham","Moon",34.99,8.02,115.05,"Planetographic  +East  -180 - 180","Approved","1976","Hiram; American explorer (1875-1956).",
"Biot","Moon",13.01,-22.7,51.08,"Planetographic  +East  -180 - 180","Approved","1935","Jean-Baptiste; French astronomer (1774-1862).",
"Birkeland","Moon",81.64,-30.17,174.01,"Planetographic  +East  -180 - 180","Approved","1970","Olaf Kristian; Norwegian physicist (1867-1917).",
"Birkhoff","Moon",329.81,58.45,-145.65,"Planetographic  +East  -180 - 180","Approved","1970","George David; American mathematician (1884-1944).",
"Birmingham","Moon",89.92,65.12,-10.7,"Planetographic  +East  -180 - 180","Approved","1935","John; Irish astronomer (1816-1884).",
"Birt","Moon",15.81,-22.36,-8.59,"Planetographic  +East  -180 - 180","Approved","1935","William R.; British selenographer (1804-1881).",
"Bi Sheng","Moon",55.27,78.35,148.46,"Planetographic  +East  -180 - 180","Approved","Aug 2, 2010","Chinese inventor (c. 990-1051).",
"Bjerknes","Moon",48.18,-38.5,113.69,"Planetographic  +East  -180 - 180","Approved","1970","Vilhelm Friman Koren; Norwegian physicist (1862-1951).",
"Black","Moon",19.46,-9.2,80.39,"Planetographic  +East  -180 - 180","Approved","1976","Joseph; French chemist (1728-1799).",
"Blackett","Moon",145.31,-37.55,-115.84,"Planetographic  +East  -180 - 180","Approved","1979","Patrick Maynard Stuart; British physicist; Nobel laureate (1897-1974).",
"Blagg","Moon",4.97,1.22,1.46,"Planetographic  +East  -180 - 180","Approved","1935","Mary Adela; British astronomer (1858-1944).",
"Blancanus","Moon",105.82,-63.77,-21.63,"Planetographic  +East  -180 - 180","Approved","1935","Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",
"Blanchard","Moon",37.46,-58.25,-93.5,"Planetographic  +East  -180 - 180","Approved","1991","Jean-Pierre-François; French aeronaut (1753-1809).",
"Blanchinus","Moon",59.9,-25.32,2.44,"Planetographic  +East  -180 - 180","Approved","1935","Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458).",
"Blazhko","Moon",51.11,31.37,-147.86,"Planetographic  +East  -180 - 180","Approved","1970","Sergei Nikolaevich; Soviet astronomer (1870-1956).",
"Bliss","Moon",22.85,53.04,-13.78,"Planetographic  +East  -180 - 180","Approved","2000","Nathaniel; English Astronomer Royal (1700-1764). ",
"Bobillier","Moon",6.04,19.63,15.44,"Planetographic  +East  -180 - 180","Approved","1976","Étienne; French geometer (1798-1840).",
"Bobone","Moon",32.14,26.7,-132.12,"Planetographic  +East  -180 - 180","Approved","1970","Jorge; Argentinean astronomer (1901-1958).",
"Bode","Moon",17.8,6.71,-2.45,"Planetographic  +East  -180 - 180","Approved","1935","Johann Elert; German astronomer (1747-1826).",
"Boethius","Moon",11.17,5.57,72.33,"Planetographic  +East  -180 - 180","Approved","1976","Anicius Manlius Severinus; Roman scholar(c. A.D. 470-524).",
"Boguslawsky","Moon",94.59,-72.9,43.26,"Planetographic  +East  -180 - 180","Approved","1935","Palm Heinrich Ludwig von; German astronomer (1789-1851).",
"Bohnenberger","Moon",31.74,-16.24,40.06,"Planetographic  +East  -180 - 180","Approved","1935","Johann Gottlieb Friedrich Von; German astronomer (1765-1831).",
"Bohr","Moon",70.07,12.71,-86.52,"Planetographic  +East  -180 - 180","Approved","1964","Niels Henrik David; Danish physicist; Nobel laureate (1885-1962).",
"Bok","Moon",43.03,-20.26,-171.58,"Planetographic  +East  -180 - 180","Approved","1979","Priscilla Fairfield; American astronomer (1896-1975), Bart Jan; Dutch-American astronomer (1906-1983).",
"Boltzmann","Moon",72.31,-74.82,-90.41,"Planetographic  +East  -180 - 180","Approved","1964","Ludwig Eduard; Austrian physicist (1844-1906).",
"Bolyai","Moon",102.22,-33.85,126.12,"Planetographic  +East  -180 - 180","Approved","1970","Janos; Hungarian mathematician (1802-1860).",
